 1 threads :      100 trials ; probability =  25.00% ; megatrials/sec =   7.93
 1 threads :     1000 trials ; probability =  21.80% ; megatrials/sec =   7.09
 1 threads :    10000 trials ; probability =  22.87% ; megatrials/sec =  20.77
 1 threads :    50000 trials ; probability =  23.19% ; megatrials/sec =  20.57
 1 threads :   100000 trials ; probability =  23.31% ; megatrials/sec =  20.03
 2 threads :      100 trials ; probability =  25.00% ; megatrials/sec =  13.56
 2 threads :     1000 trials ; probability =  24.00% ; megatrials/sec =  14.53
 2 threads :    10000 trials ; probability =  23.37% ; megatrials/sec =  27.52
 2 threads :    50000 trials ; probability =  23.30% ; megatrials/sec =  40.63
 2 threads :   100000 trials ; probability =  23.11% ; megatrials/sec =  40.46
 4 threads :      100 trials ; probability =  28.00% ; megatrials/sec =  24.46
 4 threads :     1000 trials ; probability =  24.10% ; megatrials/sec =  29.22
 4 threads :    10000 trials ; probability =  22.99% ; megatrials/sec =  27.64
 4 threads :    50000 trials ; probability =  23.23% ; megatrials/sec =  81.00
 4 threads :   100000 trials ; probability =  23.05% ; megatrials/sec =  79.03
 8 threads :      100 trials ; probability =  20.00% ; megatrials/sec =   0.06
 8 threads :     1000 trials ; probability =  22.60% ; megatrials/sec =   0.72
 8 threads :    10000 trials ; probability =  23.20% ; megatrials/sec =   6.68
 8 threads :    50000 trials ; probability =  23.14% ; megatrials/sec =  25.12
 8 threads :   100000 trials ; probability =  22.97% ; megatrials/sec =  36.85
